ArmorId,ArmorName,ImageURL,StatDefense,StatBonus,ArmorSlot
0,Mining Armor Helmet,https://static.wikia.nocookie.net/terraria_gamepedia/images/9/98/Mining_armor.png/revision/latest?cb=20210628183243&format=original,2,Set Bonus: +30% mining speed Effect: Helmet piece emits light.,0
1,Wood Armor Helmet,https://static.wikia.nocookie.net/terraria_gamepedia/images/e/ef/Wood_armor.png/revision/latest?cb=20161209083910&format=original,1,Set Bonus: +1 defense,0
2,Rich Mahogany Armor Helmet,https://static.wikia.nocookie.net/terraria_gamepedia/images/0/0d/Rich_Mahogany_armor.png/revision/latest?cb=20211220152441&format=original,1,Set Bonus: +1 defense,0
3,Boreal Wood Armor Helmet,https://static.wikia.nocookie.net/terraria_gamepedia/images/6/69/Boreal_Wood_armor.png/revision/latest?cb=20211220160906&format=original,1,Set Bonus: +1 defense,0
4,Palm Wood Armor Helmet,https://static.wikia.nocookie.net/terraria_gamepedia/images/8/8d/Palm_Wood_armor.png/revision/latest?cb=20200726165221&format=original,1,Set Bonus: +1 defense,0
5,Ebonwood Armor Helmet,https://static.wikia.nocookie.net/terraria_gamepedia/images/9/9b/Ebonwood_armor.png/revision/latest?cb=20161110194856&format=original,1,Set Bonus: +1 defense,0
6,Shadewood Armor Helmet,https://static.wikia.nocookie.net/terraria_gamepedia/images/9/94/Shadewood_armor.png/revision/latest?cb=20200726165151&format=original,1,Set Bonus: +1 defense,0
7,Ash Wood Armor Helmet,https://static.wikia.nocookie.net/terraria_gamepedia/images/2/24/Ash_Wood_armor.png/revision/latest?cb=20221114001025&format=original,2,Set Bonus: Reduces lava contact damage by 50% and the duration of the inflicted On Fire debuff by 3.5 seconds,0
8,Rain Armor Helmet,https://static.wikia.nocookie.net/terraria_gamepedia/images/8/8b/Rain_armor.png/revision/latest?cb=20200726011248&format=original,1,N/A,0
9,Snow Armor Helmet,https://static.wikia.nocookie.net/terraria_gamepedia/images/8/81/Snow_armor.png/revision/latest?cb=20201030183001&format=original,3,Grants Immunity to Frozen and Chilled debuffs,0
10,Pink Snow Armor Helmet,https://static.wikia.nocookie.net/terraria_gamepedia/images/9/98/Pink_Snow_armor.png/revision/latest?cb=20200726165154&format=original,1,Grants Immunity to Frozen and Chilled debuffs,0
11,Angler Armor Helmet,https://static.wikia.nocookie.net/terraria_gamepedia/images/9/90/Angler_armor.png/revision/latest?cb=20201029211507&format=original,1,"Each piece grants +5% fishing power, leading up to a total of +15% fishing power Set Bonus: Decreased enemy spawn rate",0
12,Cactus Armor Helmet,https://static.wikia.nocookie.net/terraria_gamepedia/images/4/48/Cactus_armor.png/revision/latest?cb=20201105042755&format=original,1,Set Bonus: Grants 15 thorn damage,0
13,Copper Armor Helmet,https://static.wikia.nocookie.net/terraria_gamepedia/images/9/9d/Copper_armor.png/revision/latest?cb=20201105045411&format=original,1,Set Bonus: +2 defense,0
14,Tin Armor Helmet,https://static.wikia.nocookie.net/terraria_gamepedia/images/d/d1/Tin_armor.png/revision/latest?cb=20201105043632&format=original,2,Set Bonus: +2 defense,0
15,Pumpkin Armor Helmet,https://static.wikia.nocookie.net/terraria_gamepedia/images/3/37/Pumpkin_armor.png/revision/latest?cb=20200726165209&format=original,2,Set Bonus: +10% damage,0
16,Ninja Armor Helmet,https://static.wikia.nocookie.net/terraria_gamepedia/images/7/73/Ninja_armor.png/revision/latest?cb=20200726165256&format=original,2,"Each piece grants +3% critical strike chance, leading up to a total of +9% critical strike chance Set Bonus: 20% increased movement speed Set Effect: After-image effect when moving",0
17,Iron Armor Helmet,https://static.wikia.nocookie.net/terraria_gamepedia/images/6/67/Iron_armor.png/revision/latest?cb=20201105045700&format=original,2,Set Bonus: +2 defense Ancient helmet variant is interchangeable with other iron armor pieces,0
18,Lead Armor Helmet,https://static.wikia.nocookie.net/terraria_gamepedia/images/2/24/Lead_armor.png/revision/latest?cb=20211220153734&format=original,3,Set Bonus: +3 defense,0
19,Silver Armor Helmet,https://static.wikia.nocookie.net/terraria_gamepedia/images/8/8a/Silver_armor.png/revision/latest?cb=20201105045040&format=original,3,Set Bonus: +3 defense,0
20,Tungsten Armor Helmet,https://static.wikia.nocookie.net/terraria_gamepedia/images/4/4d/Tungsten_armor.png/revision/latest?cb=20201105044010&format=original,4,Set Bonus: +3 defense,0
21,Gold Armor Helmet,https://static.wikia.nocookie.net/terraria_gamepedia/images/3/30/Gold_armor.png/revision/latest?cb=20211220154354&format=original,4,Set Bonus: +3 defense Ancient helmet variant is interchangeable with other gold armor pieces,0
22,Platinum Armor Helmet,https://static.wikia.nocookie.net/terraria_gamepedia/images/9/94/Platinum_armor.png/revision/latest?cb=20201105050003&format=original,5,Set Bonus: +4 defense,0
23,Fossil Armor Helmet,https://static.wikia.nocookie.net/terraria_gamepedia/images/f/f1/Fossil_armor.png/revision/latest?cb=20200727180621&format=original,4,+4% ranged critical strike chance +5% ranged damage +4% ranged critical strike chance Set Bonus: 20% chance not to consume ammo,0
24,Bee Armor Helmet,https://static.wikia.nocookie.net/terraria_gamepedia/images/3/3d/Bee_armor.png/revision/latest?cb=20200727154326&format=original,4,+2 minion capacity +13% minion damage Set Bonus: +10% minion damage (+23% total),0
25,Obsidian Armor Helmet,https://static.wikia.nocookie.net/terraria_gamepedia/images/e/ea/Obsidian_armor.png/revision/latest?cb=20200821145037&format=original,4,"+1 minion capacity +16% minion damage Set Bonus : +50% whip range, +35% whip speed, and +15% minion damage (+31% total) ",0
26,Gladiator Armor Helmet,https://static.wikia.nocookie.net/terraria_gamepedia/images/8/8a/Gladiator_armor.png/revision/latest?cb=20200726165223&format=original,5,Set Bonus: Grants immunity to knockback,0
27,Meteor Armor Helmet,https://static.wikia.nocookie.net/terraria_gamepedia/images/d/d9/Meteor_armor.png/revision/latest?cb=20201104222858&format=original,5,+27% magic damage Set Bonus: Space Gun and Zapinator use costs 0 mana Set Effect: Flame particles when moving,0
28,Jungle Armor Helmet,https://static.wikia.nocookie.net/terraria_gamepedia/images/d/d4/Jungle_armor.png/revision/latest?cb=20201030180202&format=original,5,+80 mana capacity +12% magic critical strike chance +6% magic damage Set Bonus: -16% mana usage Set Effect: Grass particles when moving,0
29,Ancient Cobalt Armor Helmet,https://static.wikia.nocookie.net/terraria_gamepedia/images/c/c8/Ancient_Cobalt_armor.png/revision/latest?cb=20200726165159&format=original,5,+80 mana capacity +12% magic critical strike chance +6% magic damage -16% mana usage Set Effect: After-image when moving,0
30,Necro Armor Helmet,https://static.wikia.nocookie.net/terraria_gamepedia/images/d/d3/Necro_armor.png/revision/latest?cb=20200726165254&format=original,6,"+15% ranged damage Set Bonus: 10% increased ranged critical strike chance 20% chance not to consume ammo Set Effect: After-image when moving, bone crunch sound when hurt",0
31,Shadow Armor Helmet,https://static.wikia.nocookie.net/terraria_gamepedia/images/c/c5/Shadow_armor.png/revision/latest?cb=20201104224735&format=original,6,+15% Critical Strike Chance Set Bonus: +15% movement speed and improved acceleration. Set Effect: After-image when moving and flames.,0
32,Ancient Shadow Armor Helmet,https://static.wikia.nocookie.net/terraria_gamepedia/images/5/5a/Ancient_Shadow_armor.png/revision/latest?cb=20200726165157&format=original,6,"+15% Critical Strike Chance Set Effect: After-image when moving and flames Each piece grants +3% damage, leading up to a total of +9% damage Set Bonus: Greatly increased life regeneration Set Effect: Emits red particles when moving and regenerating health",0
33,Crimson Armor Helmet,https://static.wikia.nocookie.net/terraria_gamepedia/images/a/a1/Crimson_armor.png/revision/latest?cb=20201104224050&format=original,6,"+7% melee critical strike chance +7% melee damage +7% melee speed Set Bonus: +10% melee damage, cannot be set on fire Set Effect: Flame particles when moving",0
34,Molten Armor Helmet,https://static.wikia.nocookie.net/terraria_gamepedia/images/f/f1/Molten_armor.png/revision/latest?cb=20201104222402&format=original,8,"+7% melee critical strike chance <span class=""eico s i0 i1 i4 i9"" title=""PC, Console, Mobile and tModLoader versions""><i></i><s></s></span> +7% melee damage <span class=""eico s i0 i1 i4 i9"" title=""PC, Console, Mobile and tModLoader versions""><i></i><s></s></span> +7% melee speed <span class=""eico s i0 i1 i4 i9"" title=""PC, Console, Mobile and tModLoader versions""><i></i><s></s></span> Set Bonus: +10% melee damage, cannot be set on fire <span class=""eico s i0 i1 i4 i9"" title=""PC, Console, Mobile and tModLoader versions""><i></i><s></s></span> / +17% melee damage\n                <span class=""eico s i2 i5 i7 i8 i10"" title=""Old-gen console, Windows Phone, Old Chinese, 3DS and tModLoader 1.3-Legacy versions""><i></i><s></s></span>\n Set Effect: Flame particles when moving",0
35,Mining Armor Breastplate,https://static.wikia.nocookie.net/terraria_gamepedia/images/9/98/Mining_armor.png/revision/latest?cb=20210628183243&format=original,1,Set Bonus: +30% mining speed Effect: Helmet piece emits light.,1
36,Wood Armor Breastplate,https://static.wikia.nocookie.net/terraria_gamepedia/images/e/ef/Wood_armor.png/revision/latest?cb=20161209083910&format=original,1,Set Bonus: +1 defense,1
37,Rich Mahogany Armor Breastplate,https://static.wikia.nocookie.net/terraria_gamepedia/images/0/0d/Rich_Mahogany_armor.png/revision/latest?cb=20211220152441&format=original,1,Set Bonus: +1 defense,1
38,Boreal Wood Armor Breastplate,https://static.wikia.nocookie.net/terraria_gamepedia/images/6/69/Boreal_Wood_armor.png/revision/latest?cb=20211220160906&format=original,1,Set Bonus: +1 defense,1
39,Palm Wood Armor Breastplate,https://static.wikia.nocookie.net/terraria_gamepedia/images/8/8d/Palm_Wood_armor.png/revision/latest?cb=20200726165221&format=original,1,Set Bonus: +1 defense,1
40,Ebonwood Armor Breastplate,https://static.wikia.nocookie.net/terraria_gamepedia/images/9/9b/Ebonwood_armor.png/revision/latest?cb=20161110194856&format=original,2,Set Bonus: +1 defense,1
41,Shadewood Armor Breastplate,https://static.wikia.nocookie.net/terraria_gamepedia/images/9/94/Shadewood_armor.png/revision/latest?cb=20200726165151&format=original,2,Set Bonus: +1 defense,1
42,Ash Wood Armor Breastplate,https://static.wikia.nocookie.net/terraria_gamepedia/images/2/24/Ash_Wood_armor.png/revision/latest?cb=20221114001025&format=original,3,Set Bonus: Reduces lava contact damage by 50% and the duration of the inflicted On Fire debuff by 3.5 seconds,1
43,Rain Armor Breastplate,https://static.wikia.nocookie.net/terraria_gamepedia/images/8/8b/Rain_armor.png/revision/latest?cb=20200726011248&format=original,2,N/A,1
44,Snow Armor Breastplate,https://static.wikia.nocookie.net/terraria_gamepedia/images/8/81/Snow_armor.png/revision/latest?cb=20201030183001&format=original,3,Grants Immunity to Frozen and Chilled debuffs,1
45,Pink Snow Armor Breastplate,https://static.wikia.nocookie.net/terraria_gamepedia/images/9/98/Pink_Snow_armor.png/revision/latest?cb=20200726165154&format=original,2,Grants Immunity to Frozen and Chilled debuffs,1
46,Angler Armor Breastplate,https://static.wikia.nocookie.net/terraria_gamepedia/images/9/90/Angler_armor.png/revision/latest?cb=20201029211507&format=original,2,"Each piece grants +5% fishing power, leading up to a total of +15% fishing power Set Bonus: Decreased enemy spawn rate",1
47,Cactus Armor Breastplate,https://static.wikia.nocookie.net/terraria_gamepedia/images/4/48/Cactus_armor.png/revision/latest?cb=20201105042755&format=original,1,Set Bonus: Grants 15 thorn damage,1
48,Copper Armor Breastplate,https://static.wikia.nocookie.net/terraria_gamepedia/images/9/9d/Copper_armor.png/revision/latest?cb=20201105045411&format=original,2,Set Bonus: +2 defense,1
49,Tin Armor Breastplate,https://static.wikia.nocookie.net/terraria_gamepedia/images/d/d1/Tin_armor.png/revision/latest?cb=20201105043632&format=original,2,Set Bonus: +2 defense,1
50,Pumpkin Armor Breastplate,https://static.wikia.nocookie.net/terraria_gamepedia/images/3/37/Pumpkin_armor.png/revision/latest?cb=20200726165209&format=original,3,Set Bonus: +10% damage,1
51,Ninja Armor Breastplate,https://static.wikia.nocookie.net/terraria_gamepedia/images/7/73/Ninja_armor.png/revision/latest?cb=20200726165256&format=original,4,"Each piece grants +3% critical strike chance, leading up to a total of +9% critical strike chance Set Bonus: 20% increased movement speed Set Effect: After-image effect when moving",1
52,Iron Armor Breastplate,https://static.wikia.nocookie.net/terraria_gamepedia/images/6/67/Iron_armor.png/revision/latest?cb=20201105045700&format=original,3,Set Bonus: +2 defense Ancient helmet variant is interchangeable with other iron armor pieces,1
53,Lead Armor Breastplate,https://static.wikia.nocookie.net/terraria_gamepedia/images/2/24/Lead_armor.png/revision/latest?cb=20211220153734&format=original,3,Set Bonus: +3 defense,1
54,Silver Armor Breastplate,https://static.wikia.nocookie.net/terraria_gamepedia/images/8/8a/Silver_armor.png/revision/latest?cb=20201105045040&format=original,4,Set Bonus: +3 defense,1
55,Tungsten Armor Breastplate,https://static.wikia.nocookie.net/terraria_gamepedia/images/4/4d/Tungsten_armor.png/revision/latest?cb=20201105044010&format=original,5,Set Bonus: +3 defense,1
56,Gold Armor Breastplate,https://static.wikia.nocookie.net/terraria_gamepedia/images/3/30/Gold_armor.png/revision/latest?cb=20211220154354&format=original,5,Set Bonus: +3 defense Ancient helmet variant is interchangeable with other gold armor pieces,1
57,Platinum Armor Breastplate,https://static.wikia.nocookie.net/terraria_gamepedia/images/9/94/Platinum_armor.png/revision/latest?cb=20201105050003&format=original,6,Set Bonus: +4 defense,1
58,Fossil Armor Breastplate,https://static.wikia.nocookie.net/terraria_gamepedia/images/f/f1/Fossil_armor.png/revision/latest?cb=20200727180621&format=original,5,+4% ranged critical strike chance +5% ranged damage +4% ranged critical strike chance Set Bonus: 20% chance not to consume ammo,1
59,Bee Armor Breastplate,https://static.wikia.nocookie.net/terraria_gamepedia/images/3/3d/Bee_armor.png/revision/latest?cb=20200727154326&format=original,5,+2 minion capacity +13% minion damage Set Bonus: +10% minion damage (+23% total),1
60,Obsidian Armor Breastplate,https://static.wikia.nocookie.net/terraria_gamepedia/images/e/ea/Obsidian_armor.png/revision/latest?cb=20200821145037&format=original,6,"+1 minion capacity +16% minion damage Set Bonus : +50% whip range, +35% whip speed, and +15% minion damage (+31% total) ",1
61,Gladiator Armor Breastplate,https://static.wikia.nocookie.net/terraria_gamepedia/images/8/8a/Gladiator_armor.png/revision/latest?cb=20200726165223&format=original,6,Set Bonus: Grants immunity to knockback,1
62,Meteor Armor Breastplate,https://static.wikia.nocookie.net/terraria_gamepedia/images/d/d9/Meteor_armor.png/revision/latest?cb=20201104222858&format=original,6,+27% magic damage Set Bonus: Space Gun and Zapinator use costs 0 mana Set Effect: Flame particles when moving,1
63,Jungle Armor Breastplate,https://static.wikia.nocookie.net/terraria_gamepedia/images/d/d4/Jungle_armor.png/revision/latest?cb=20201030180202&format=original,6,+80 mana capacity +12% magic critical strike chance +6% magic damage Set Bonus: -16% mana usage Set Effect: Grass particles when moving,1
64,Ancient Cobalt Armor Breastplate,https://static.wikia.nocookie.net/terraria_gamepedia/images/c/c8/Ancient_Cobalt_armor.png/revision/latest?cb=20200726165159&format=original,6,+80 mana capacity +12% magic critical strike chance +6% magic damage -16% mana usage Set Effect: After-image when moving,1
65,Necro Armor Breastplate,https://static.wikia.nocookie.net/terraria_gamepedia/images/d/d3/Necro_armor.png/revision/latest?cb=20200726165254&format=original,7,"+15% ranged damage Set Bonus: 10% increased ranged critical strike chance 20% chance not to consume ammo Set Effect: After-image when moving, bone crunch sound when hurt",1
66,Shadow Armor Breastplate,https://static.wikia.nocookie.net/terraria_gamepedia/images/c/c5/Shadow_armor.png/revision/latest?cb=20201104224735&format=original,7,+15% Critical Strike Chance Set Bonus: +15% movement speed and improved acceleration. Set Effect: After-image when moving and flames.,1
